name,total_hh_estimate,total_hh_moe,owner_hh_estimate,owner_hh_moe,homeownership_rate,homeownership_rate_moe
Allegany County,27382,459,19363,567,0.7071433788620262,0.016978526301384914
Anne Arundel County,224748,982,168852,1914,0.7512947834908431,0.007858109297149326
Baltimore County,332801,1226,220908,2453,0.6637840631488487,0.006953327296402582
Calvert County,33465,496,29183,567,0.8720454205886747,0.010955027211202218
Caroline County,12495,251,8978,352,0.7185274109643858,0.024192678093146135
Carroll County,64285,428,54223,836,0.8434782608695652,0.011729563047442281
Cecil County,40595,513,30557,847,0.7527281684936569,0.01857014678055801
Charles County,60875,526,49958,916,0.8206652977412731,0.01327160681605794
Dorchester County,13546,385,8882,364,0.6556917171120626,0.019359159467348935
Frederick County,104635,535,80595,971,0.770248960672815,0.008402736750571628
Garrett County,12578,360,10027,368,0.7971855620925425,0.0183139730788929
Harford County,101795,570,81092,1182,0.7966206591679356,0.010720589770767895
Howard County,121065,625,86533,1272,0.7147647957708669,0.009837472364476013
Kent County,8493,262,6161,330,0.7254209348875544,0.03176407504135652
Montgomery County,389210,1485,254139,2460,0.6529611263842142,0.005808784589256748
Prince George's County,347744,1303,216692,2479,0.6231365602282138,0.006735587873446897
Queen Anne's County,19907,317,16505,386,0.8291053398302105,0.014200945724413744
St. Mary's County,42436,536,31049,815,0.7316665095673485,0.016835715907545172
Somerset County,8348,337,6104,371,0.731193100143747,0.03322332509069343
Talbot County,16433,328,12337,467,0.7507454512261912,0.024146718618232966
Washington County,59818,617,39936,887,0.6676251295596644,0.01313231596773491
Wicomico County,40470,582,25203,693,0.6227575982209044,0.014595080661165128
Worcester County,24136,541,18817,563,0.7796237984753066,0.01545101660532893
Baltimore city,255668,1367,121471,2110,0.47511225495564563,0.007852195678762526
